Time,Density
21:47:02,5
21:47:03,3
21:47:03,4
21:47:03,4
21:47:03,5
21:47:03,5
21:47:03,5
21:47:03,5
21:47:03,5
21:47:03,5
21:47:03,5
21:47:03,4
21:47:03,6
21:47:03,7
21:47:03,4
21:47:03,5
21:47:04,4
21:47:04,5
21:47:04,4
21:47:04,4
21:47:04,5
21:47:04,5
21:47:04,4
21:47:04,4
21:47:04,4
21:47:04,5
21:47:04,4
21:47:04,4
21:47:04,5
21:47:04,5
21:47:04,3
21:47:04,5
21:47:04,4
21:47:04,3
21:47:05,5
21:47:05,4
21:47:05,6
21:47:05,5
21:47:05,5
21:47:05,6
21:47:05,6
21:47:05,5
21:47:05,3
21:47:05,4
21:47:05,4
21:47:05,4
21:47:05,3
21:47:05,3
21:47:05,3
21:47:05,3
21:47:05,4
21:47:05,3
21:47:05,5
21:47:05,4
21:47:06,3
21:47:06,5
21:47:06,4
21:47:06,5
21:47:06,4
21:47:06,5
21:47:06,4
21:47:06,3
21:47:06,3
21:47:06,4
21:47:06,5
21:47:06,5
21:47:06,5
21:47:06,5
21:47:06,5
21:47:06,5
21:47:06,4
21:47:06,4
21:47:06,4
21:47:06,4
21:47:06,4
21:47:06,3
21:47:07,5
21:47:07,4
21:47:07,5
21:47:07,6
21:47:07,4
21:47:07,5
21:47:07,5
21:47:07,2
21:47:07,5
21:47:07,5
21:47:07,2
21:47:07,2
21:47:07,1
21:47:07,3
21:47:07,3
21:47:07,3
21:47:07,2
21:47:07,3
21:47:07,1
21:47:07,2
21:47:07,2
21:47:08,3
21:47:08,2
21:47:08,2
21:47:08,2
21:47:08,3
21:47:08,4
21:47:08,4
21:47:08,2
21:47:08,3
21:47:08,4
21:47:08,2
21:47:08,4
21:47:08,4
21:47:08,3
21:47:08,2
21:47:08,3
21:47:08,3
21:47:08,3
21:47:08,3
21:47:08,3
21:47:08,3
21:47:09,3
21:47:09,2
21:47:09,3
21:47:09,2
21:47:09,2
21:47:09,3
21:47:09,2
21:47:09,3
21:47:09,2
21:47:09,5
21:47:09,3
21:47:09,2
21:47:09,2
21:47:09,3
21:47:09,4
21:47:09,3
21:47:09,3
21:47:09,2
